DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;32.92;
ACTIVITY;132;13;10;2;3488;32.64;
ADAPTER;145;24;16;3;680;5.69;
[FOLDERCALLBACK];97;11;6;2;743;1.65;
ENTITY;47;11;6;2;680;2.81;
FRAGMENT;311;25;14;2;4557;9.8;
VIEW;214;47;16;3;3620;8.69;
[POSTLOADER];81;23;19;2;680;1.28;
