DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;53;9;11;3;436;16.86;
FORMCOMPONENTPANEL;56;3;6;2;222;2;
VIEW;74;9;11;3;478;11.56;
SERVICE;44;8;12;4;482;7.79;
TEST;35;3;9;2;632;9.48;
FORM;165;8;9;2;561;11.84;
PERSISTENCE;49;11;12;4;535;7.41;
PANEL;110;7;9;3;271;6.14;
BASESEARCHFILTER;20;3;6;2;222;1.02;
ENTITY;20;4;6;2;301;14.31;
ABSTRACTCACHE;62;19;15;2;422;1.48;
