DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;30.19;
TEST;45;7;7;2;680;12.92;
ACTIVITY;132;13;10;2;3488;10.39;
ADAPTER;145;24;16;3;680;2.57;
NAMESPACE;77;37;13;2;680;1.24;
BASECASTMANAGER;45;7;8;3;913;2.32;
FRAGMENT;311;25;14;2;4557;17.1;
FEEDCOMPONENT;45;8;6;2;680;2.94;
SERVICE;123;23;17;3;1441;9.71;
