DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;18.94;
ACTIVITY;132;13;10;2;3488;2.37;
ADAPTER;145;24;16;3;680;32.52;
[SIMPLELISTITEM];45;7;6;2;680;1.06;
PREFERENCE;45;7;6;2;680;1.34;
ENTITY;47;11;6;2;680;4.74;
FRAGMENT;311;25;14;2;4557;2.76;
VIEW;214;47;16;3;3620;5.05;
BEAN;72;17;14;2;680;22.28;
