DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;31.81;
ACTIVITY;132;13;10;2;3488;7;
PERSISTENCE;92;19;13;4;708;3.77;
ENTITY;47;11;6;2;680;3.05;
FRAGMENT;311;25;14;2;4557;42.5;
VIEW;214;47;16;3;3620;2.95;
SERVICE;123;23;17;3;1441;4.85;
