DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;20.77;
TEST;45;7;7;2;680;3.99;
ACTIVITY;132;13;10;2;3488;23.84;
ADAPTER;145;24;16;3;680;5.15;
PERSISTENCE;92;19;13;4;708;5.01;
REMOTEOPERATION;79;17;19;3;680;5.53;
ASYNCTASK;158;36;20;2;680;1.55;
ENTITY;47;11;6;2;680;1.57;
FRAGMENT;311;25;14;2;4557;17.37;
VIEW;214;47;16;3;3620;3.51;
MULTIDEXAPPLICATION;54;7;13;2;680;1.01;
SERVICE;123;23;17;3;1441;3.22;
JOB;50;12;20;3;680;1.76;
