DesignRoleTechnique;LOC;CC;Efferent;NOP;
UNDEFINED;30;7;9;3;
[CALENDARACCESSOR];30;6;12;5;
PERSISTENCE;28;4;6;3;
APPLICATION;29;3;5;2;
EXCEPTION;15;3;5;2;
[ITERATOR];15;4;5;2;
BROADCASTRECEIVER;33;6;11;2;
VIEW;15;4;5;2;
"[DRIVER, JOBVALIDATOR];15;3;7;2;"
ENTITY;15;3;5;6;
TEST;16;3;7;2;
FRAGMENT;32;3;5;2;
SERVICE;24;8;6;2;
ASYNCTASK;50;12;16;4;
PREFERENCE;29;8;6;4;
ACTIVITY;37;12;8;3;
[TRUSTEDSOCKETFACTORY];15;3;7;4;
