DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;25.94;
TEST;45;7;7;2;680;6.3;
ACTIVITY;132;13;10;2;3488;9.57;
ADAPTER;145;24;16;3;680;2.27;
PERSISTENCE;92;19;13;4;708;4.89;
ASYNCTASK;158;36;20;2;680;4.08;
ENTITY;47;11;6;2;680;1.27;
FRAGMENT;311;25;14;2;4557;33.26;
VIEW;214;47;16;3;3620;4.25;
SERVICE;123;23;17;3;1441;1.18;
